comp,func,id
housing,import human material,365
electric switch,import human material,365
guiders,import solid,365
blade,position solid,365
housing,position solid,365
gear,position solid,365
electric cord,position solid,365
housing,position solid,365
guiders,secure solid,365
housing,secure solid,365
fan,secure solid,365
housing,secure solid,365
guiders,secure solid,365
electric motor,secure solid,365
electric switch,secure solid,365
electric switch,secure solid,365
blade,separate solid,365
system,separate solid,365
electric wire,transfer electrical,365
connector,transfer electrical,365
connector,transfer electrical,365
electric cord,transfer electrical,365
electric wire,transfer electrical,365
electric motor,transfer electrical,365
blade,transfer mechanical,365
gear,transfer mechanical,365
gear,transfer mechanical,365
hydraulic piston,transfer mechanical,365
fan,transfer thermal,365
transistor,actuate electrical,370
circuit board,actuate electrical,370
circuit board,actuate radioactive/nuclear,370
electric motor,convert electrical,370
rotational coupler,convert electrical,370
heating element,convert electrical,370
transistor,convert radioactive/nuclear,370
circuit board,convert radioactive/nuclear,370
transistor,convert status,370
circuit board,convert status,370
electric switch,convert status,370
airfoil,couple solid,370
shaft,couple solid,370
bearing,couple solid,370
blade,couple solid,370
bracket,couple solid,370
unclassified,couple solid,370
cap,couple solid,370
cover,couple solid,370
cover,couple solid,370
divider,couple solid,370
shaft,couple solid,370
electric motor,couple solid,370
electric wire,couple solid,370
unclassified,couple solid,370
fastener,couple solid,370
gear,couple solid,370
clamp,couple solid,370
guiders,couple solid,370
hinge,couple solid,370
transistor,couple solid,370
link,couple solid,370
nut-bolt,couple solid,370
key,couple solid,370
punch,couple solid,370
reservoir,couple solid,370
rotational coupler,couple solid,370
rotational coupler,couple solid,370
screw,couple solid,370
seal,couple solid,370
electric socket,couple solid,370
solder,couple solid,370
spring,couple solid,370
sprocket,couple solid,370
support,couple solid,370
reservoir,couple solid,370
tube,couple solid,370
valve,couple solid,370
wheel,couple solid,370
electric wire,export control,370
guiders,export control,370
solder,export control,370
unclassified,export electrical,370
electric wire,export electrical,370
link,export electrical,370
spring,export electrical,370
lens,export radioactive/nuclear,370
airfoil,export solid,370
shaft,export solid,370
bearing,export solid,370
belt,export solid,370
blade,export solid,370
bracket,export solid,370
unclassified,export solid,370
cap,export solid,370
transistor,export solid,370
cover,export solid,370
cover,export solid,370
divider,export solid,370
shaft,export solid,370
electric motor,export solid,370
electric wire,export solid,370
unclassified,export solid,370
fastener,export solid,370
gear,export solid,370
clamp,export solid,370
guiders,export solid,370
hinge,export solid,370
transistor,export solid,370
link,export solid,370
material filter,export solid,370
nut-bolt,export solid,370
key,export solid,370
punch,export solid,370
reservoir,export solid,370
rotational coupler,export solid,370
rotational coupler,export solid,370
screw,export solid,370
seal,export solid,370
electric socket,export solid,370
spring,export solid,370
sprocket,export solid,370
support,export solid,370
reservoir,export solid,370
tube,export solid,370
valve,export solid,370
wheel,export solid,370
shaft,export thermal,370
belt,export thermal,370
unclassified,export thermal,370
cover,export thermal,370
cover,export thermal,370
divider,export thermal,370
shaft,export thermal,370
electric wire,export thermal,370
unclassified,export thermal,370
housing,export thermal,370
material filter,export thermal,370
nut-bolt,export thermal,370
key,export thermal,370
punch,export thermal,370
reservoir,export thermal,370
rotational coupler,export thermal,370
electric socket,export thermal,370
spring,export thermal,370
support,export thermal,370
tube,export thermal,370
wheel,export thermal,370
unclassified,guide control,370
